iter	RMSE
415	2.365528039
416	2.363017365
417	2.361188038
418	2.356381375
419	2.353342526
420	2.346954154
421	2.34411583
422	2.340225346
423	2.336535129
424	2.332557637
425	2.327104148
426	2.322868628
427	2.319736213
428	2.317136464
429	2.31565805
430	2.31280734
431	2.311965737
432	2.308752748
433	2.306999219
434	2.304417167
435	2.300459997
436	2.298183576
437	2.295464708
438	2.287701986
439	2.284031995
440	2.281495826
441	2.279114573
442	2.277057209
443	2.275994678
444	2.272109941
445	2.27122459
446	2.267969495
447	2.266481054
448	2.259502054
449	2.255888749
450	2.253647127
451	2.248282716
452	2.246996152
453	2.245397642
454	2.242154679
455	2.238253855
456	2.236006443
457	2.233593854
458	2.229767277
459	2.226155691
460	2.224179491
461	2.220777928
462	2.220343121
463	2.216383334
464	2.211008453
465	2.207492908
466	2.205148698
467	2.201489413
468	2.198864581
469	2.195548681
470	2.191363034
471	2.188452359
472	2.183896527
473	2.181385492
474	2.179974459
475	2.176622317
476	2.174644797
477	2.173236977
478	2.17012288
479	2.166205295
480	2.163882509
481	2.161030297
482	2.159581607
483	2.158321076
484	2.15421348
485	2.151624147
486	2.150380311
487	2.149112564
488	2.148546629
489	2.146465914
490	2.144054254
491	2.140236492
492	2.13924776
493	2.136455746
494	2.131906859
495	2.128225021
496	2.125787815
497	2.124234057
498	2.121803564
499	2.119048867
500	2.117271763
501	2.1162799
502	2.11409344
503	2.111025199
504	2.108924337
505	2.108487778
506	2.105804877
507	2.103655355
508	2.100316569
509	2.096859508
510	2.094409341
511	2.090625087
512	2.087855057
513	2.08571507
514	2.08338564
515	2.082960643
516	2.081485331
517	2.079317788
518	2.077366695
519	2.073942232
520	2.071744288
521	2.069717307
522	2.066463479
523	2.063593169
524	2.061052077
525	2.05629055
526	2.055450424
527	2.054243956
528	2.052020684
529	2.049181776
530	2.048104791
531	2.046698195
532	2.044842661
533	2.041128165
534	2.040382119
535	2.038552572
536	2.038419945
537	2.036590411
538	2.033809041
539	2.030546161
540	2.030011157
541	2.028409354
542	2.026492255
543	2.02457736
544	2.023771581
545	2.021795732
546	2.019141917
547	2.01783994
548	2.016969358
549	2.014662854
550	2.014547451
551	2.012383322
552	2.009700157
553	2.008494628
554	2.006448993
555	2.005415574
556	2.004211301
557	2.003443227
558	2.001289236
559	1.998719795
560	1.995797682
561	1.992576975
562	1.991077406
563	1.989115185
564	1.987195143
565	1.985779233
566	1.983002607
567	1.982469094
568	1.981427249
569	1.979999207
570	1.977706737
571	1.975737893
572	1.973777056
573	1.972448252
574	1.968022453
575	1.965579482
576	1.963872013
577	1.962126238
578	1.9600493
579	1.959214054
580	1.957281489
581	1.956574272
582	1.953890696
583	1.952511421
584	1.950832436
585	1.950734125
586	1.948518091
587	1.946701756
588	1.945256429
589	1.944729871
590	1.941576514
591	1.939951329
592	1.937729767
593	1.935707074
594	1.93342859
595	1.93133422
596	1.929049703
597	1.928917109
598	1.927637926
599	1.927522993
600	1.925512443
601	1.923841655
602	1.922214365
603	1.922113916
604	1.921334382
605	1.919133149
606	1.916720978
607	1.915334248
608	1.913981032
609	1.912559535
610	1.91028058
611	1.909834159
612	1.907830994
613	1.906411676
614	1.906305605
615	1.905403455
616	1.903407712
617	1.901478934
618	1.898837571
619	1.898750277
620	1.897525264
621	1.896273122
622	1.895735282
623	1.89401892
624	1.893611737
625	1.893528655
626	1.891490838
627	1.88944013
628	1.887876541
629	1.886541283
630	1.884183594
631	1.88317269
632	1.883093476
633	1.883001902
634	1.881957577
635	1.880363317
636	1.877841952
637	1.876579724
638	1.874634659
639	1.874550894
640	1.873723815
641	1.872793206
642	1.872712072
643	1.871548637
644	1.870278318
645	1.869034192
646	1.866238916
647	1.862754285
648	1.862675348
649	1.861060387
650	1.859091464
651	1.857710848
652	1.85649615
653	1.854906866
654	1.85352575
655	1.851776191
656	1.850408106
657	1.848343627
658	1.846426065
659	1.844502677
660	1.842306339
661	1.840130634
662	1.838922884
663	1.837353682
664	1.836592064
665	1.835322716
666	1.834406197
667	1.831872475
668	1.830086934
669	1.828777903
670	1.827561697
671	1.826846841
672	1.823845518
673	1.822752201
674	1.82142282
675	1.819173944
676	1.817873407
677	1.814380756
678	1.811250693
679	1.80950877
680	1.808134901
681	1.806651639
682	1.805500783
683	1.802521866
684	1.799805235
685	1.798508726
686	1.79726758
687	1.796098585
688	1.794926615
689	1.793351504
690	1.792172615
691	1.790816993
692	1.788119619
693	1.786458846
694	1.785702137
695	1.784773312
696	1.783541484
697	1.780451816
698	1.779369016
699	1.778124422
700	1.777202212
701	1.775893993
702	1.774583091
703	1.774041475
704	1.771825788
705	1.770483194
706	1.769372878
707	1.76761654
708	1.76753303
709	1.766321135
710	1.765489077
711	1.764421898
712	1.762363433
713	1.761536356
714	1.761460442
715	1.760599008
716	1.758850044
717	1.75739518
718	1.755619563
719	1.754274996
720	1.752923206
721	1.75212171
722	1.751331683
723	1.74969309
724	1.747972078
725	1.74633828
726	1.744363281
727	1.741917086
728	1.740759706
729	1.740686196
730	1.738765869
731	1.737516704
732	1.735949068
733	1.733815537
734	1.731549209
735	1.730017465
736	1.729170927
737	1.727732043
738	1.725873511
739	1.725801701
740	1.723212939
741	1.722167432
742	1.720609259
743	1.719655047
744	1.718561285
745	1.717373177
746	1.715494882
747	1.71512035
748	1.71344663
749	1.711605005
750	1.710685197
751	1.709580627
752	1.708919107
753	1.707609473
754	1.706508057
755	1.705022155
756	1.703232079
757	1.701783947
758	1.700798384
759	1.699788239
760	1.698664684
761	1.697241601
762	1.695379255
763	1.694027469
764	1.691239581
765	1.688944339
766	1.687982966
767	1.687063666
768	1.685266915
769	1.683011997
770	1.681996332
771	1.681261602
772	1.680054239
773	1.679167095
774	1.677269136
775	1.675989454
776	1.675595253
777	1.673965211
778	1.673030327
779	1.67001495
780	1.668449197
781	1.666304039
782	1.665627574
783	1.663625422
784	1.662893728
785	1.66159734
786	1.66105796
787	1.660164272
788	1.659160628
789	1.658553633
790	1.656614251
791	1.655754721
792	1.654844121
793	1.654775671
794	1.653594628
795	1.652682434
796	1.651036852
797	1.650961559
798	1.650228476
799	1.649728296
800	1.648695125
801	1.648066016
802	1.648004084
803	1.647137351
804	1.647073279
805	1.647010919
806	1.64556777
807	1.644675695
808	1.644092484
809	1.643592032
810	1.642403176
811	1.641450314
812	1.640323841
813	1.63866348
814	1.637461737
815	1.635843802
816	1.634692335
817	1.633247627
818	1.631707546
819	1.629560753
820	1.628813791
821	1.627796259
822	1.627734211
823	1.626895869
824	1.626856808
825	1.625401627
826	1.624768461
827	1.624709184
828	1.623904702
829	1.622118435
830	1.619691897
831	1.618093145
832	1.617042252
833	1.615938757
834	1.615189947
835	1.613933516
836	1.613877958
837	1.612245778
838	1.611283273
839	1.610512324
840	1.608754581
841	1.608353305
842	1.607270032
843	1.60622995
844	1.603642048
845	1.602641089
846	1.601753892
847	1.600770995
848	1.598828626
849	1.597316649
850	1.597222224
851	1.596734088
852	1.596166984
853	1.594737727
854	1.593001105
855	1.592042381
856	1.591361665
857	1.588781273
858	1.587486019
859	1.587062683
860	1.585665022
861	1.585036806
862	1.583490622
863	1.581821728
864	1.580807829
865	1.580752724
866	1.580115643
867	1.579177647
868	1.57715002
869	1.575812233
870	1.575755939
871	1.575095539
872	1.574088625
873	1.572552727
874	1.57250609
875	1.571760548
876	1.570856193
877	1.569262573
878	1.567812541
879	1.567281735
880	1.565731989
881	1.564121246
882	1.563247834
883	1.5620982
884	1.561043997
885	1.561000704
886	1.560075357
887	1.559077444
888	1.557874033
889	1.556778753
890	1.556256637
891	1.555114758
892	1.554324548
893	1.552492693
894	1.552129302
895	1.552023381
896	1.551437763
897	1.550027602
898	1.549133382
899	1.548112303
900	1.547356416
901	1.546343161
902	1.544537242
903	1.54286128
904	1.542607331
905	1.541912414
906	1.541006107
907	1.539320248
908	1.538830281
909	1.538141487
910	1.535507337
911	1.534549674
912	1.533076023
913	1.531836412
914	1.531079206
915	1.530711663
916	1.529530116
917	1.527845862
918	1.526871472
919	1.525976438
920	1.524358526
921	1.523117057
922	1.52178206
923	1.521509071
924	1.519649268
925	1.518893683
926	1.51823912
927	1.517985053
928	1.516809356
929	1.516178934
930	1.515397591
931	1.514513167
932	1.513683486
933	1.513639437
934	1.511956191
935	1.510879796
936	1.509413143
937	1.509294277
938	1.509059525
939	1.508373232
940	1.507497545
941	1.507457642
942	1.505644199
943	1.505098481
944	1.504268682
945	1.503519223
946	1.503471157
947	1.503421206
948	1.502912838
949	1.502866099
950	1.502814096
951	1.501971387
952	1.501177198
953	1.501124908
954	1.500467579
955	1.500425307
956	1.498830266
957	1.498227962
958	1.498107142
959	1.498010709
960	1.497367265
961	1.496385185
962	1.49527553
963	1.495133647
964	1.49454741
965	1.493399678
966	1.49267259
967	1.491232322
968	1.491027022
969	1.490428201
970	1.48906506
971	1.488266703
972	1.486751956
973	1.48670487
974	1.486073019
975	1.484332545
976	1.48369732
977	1.482948882
978	1.481996273
979	1.481480422
980	1.480735501
981	1.47797376
982	1.475538627
983	1.474520009
984	1.47434098
985	1.47225506
986	1.472157643
987	1.47052676
988	1.470120143
989	1.46914534
990	1.468160903
991	1.467271933
992	1.466105105
993	1.466063015
994	1.466018377
995	1.465282867
996	1.464545842
997	1.463933269
998	1.463555777
999	1.461902121
